year,round,type,institute,program,quota,category,gender,orank,crank
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only",3877,3877
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral",1195,1406
2025,6,"IIT","Indian Institute of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only",1764,1764
2025,6,"IIT","Indian Institute of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral",1195,2361
2025,6,"IIT","Indian Institute of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only",4812,5994
2025,6,"IIT","Indian Institute of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral",297,489
2025,6,"IIT","Indian Institute of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","EWS","Female-only",1160,1160
2025,6,"IIT","Indian Institute of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","EWS (PwD)","Gender-Neutral",41,41
2025,6,"IIT","Indian Institute of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral",928,1295
2025,6,"IIT","Indian Institute of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only",2823,3571
2025,6,"IIT","Indian Institute of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","Female-only",75,75
2025,6,"IIT","Indian Institute of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral",238,703
2025,6,"IIT","Indian Institute of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only",459,1252
2025,6,"IIT","Indian Institute of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral",315,474
